FILE HAND2. 2013-4-26|18:47
FRAMENO, X, Y, Z
4987, 20, 4, 548)
4988, 73, 15, 546)
4989, 187, 42, 545)
4990, 337, 80, 543)
4991, 462, 112, 541)
4992, 536, 132, 541)
4993, 570, 141, 540)
4994, 578, 145, 541)
4995, 573, 143, 541)
4996, 560, 140, 542)
4997, 546, 137, 541)
4998, 534, 134, 541)
4999, 524, 131, 541)
5000, 516, 129, 541)
5001, 511, 128, 540)
5002, 508, 127, 541)
5003, 506, 126, 541)
5004, 506, 125, 542)
5005, 505, 126, 542)
5006, 506, 126, 542)
5007, 506, 126, 542)
5008, 507, 127, 541)
5009, 507, 127, 541)
5010, 508, 126, 542)
5011, 509, 126, 541)
5012, 509, 127, 540)
5013, 509, 126, 542)
5014, 509, 126, 542)
5015, 508, 127, 541)
5016, 509, 127, 541)
5017, 509, 127, 542)
5018, 508, 126, 541)
5019, 508, 126, 541)
5020, 509, 126, 542)
5021, 509, 127, 541)
5022, 509, 127, 541)
5023, 509, 127, 541)
5024, 510, 127, 541)
5025, 510, 127, 541)
5026, 510, 127, 540)
5027, 510, 127, 541)
5028, 510, 126, 541)
5029, 504, 123, 542)
5030, 498, 121, 541)
5031, 502, 123, 542)
5032, 503, 123, 542)
5033, 505, 124, 541)
5034, 508, 126, 541)
5035, 509, 127, 541)
5036, 510, 128, 541)
5037, 510, 128, 541)
5038, 510, 129, 541)
5039, 506, 125, 543)
5040, 502, 120, 544)
5041, 499, 117, 544)
5042, 496, 115, 543)
5043, 497, 115, 545)
5044, 497, 115, 544)
5045, 497, 115, 544)
5046, 502, 120, 541)
5047, 506, 124, 541)
5048, 509, 127, 541)
5049, 510, 128, 540)
5050, 512, 127, 541)
5051, 516, 126, 534)
5052, 524, 133, 510)
5053, 519, 149, 496)
5054, 489, 189, 458)
5055, 436, 228, 0)
5056, 380, 251, 457)
5057, 338, 263, 463)
5058, 316, 269, 468)
5059, 314, 276, 460)
5060, 339, 294, 455)
5061, 376, 322, 562)
5062, 195, 175, 0)
5063, 268, 169, 559)
5064, 348, 168, 558)
5065, 430, 167, 526)
5066, 513, 168, 503)
5067, 555, 162, 508)
5068, 565, 151, 520)
5069, 559, 143, 536)
5070, 548, 140, 534)
5071, 536, 140, 534)
5072, 525, 141, 534)
5073, 517, 142, 535)
5074, 511, 142, 538)
5075, 505, 143, 541)
5076, 501, 153, 535)
5077, 499, 159, 535)
5078, 501, 167, 530)
5079, 507, 171, 525)
5080, 514, 173, 523)
5081, 521, 175, 526)
5082, 525, 177, 525)
5083, 527, 176, 525)
5084, 528, 175, 525)
5085, 528, 174, 527)
5086, 524, 174, 531)
5087, 517, 173, 534)
5088, 511, 173, 532)
5089, 512, 176, 529)
5090, 524, 180, 530)
5091, 530, 180, 524)
5092, 538, 176, 520)
5093, 543, 173, 517)
5094, 547, 173, 510)
5095, 551, 171, 505)
5096, 550, 170, 507)
5097, 547, 172, 504)
5098, 541, 173, 508)
5099, 538, 178, 509)
5100, 537, 182, 513)
5101, 535, 181, 521)
5102, 535, 184, 527)
5103, 536, 187, 528)
5104, 542, 189, 527)
5105, 547, 191, 525)
5106, 552, 192, 523)
5107, 551, 193, 530)
5108, 549, 192, 532)
5109, 548, 191, 532)
5110, 546, 190, 533)
5111, 544, 190, 533)
5112, 544, 189, 533)
5113, 543, 189, 533)
5114, 543, 189, 533)
5115, 543, 188, 533)
5116, 542, 188, 534)
5117, 542, 189, 534)
5118, 541, 189, 534)
5119, 542, 189, 533)
5120, 542, 189, 533)
5121, 542, 189, 534)
5122, 542, 189, 533)
5123, 542, 189, 533)
5124, 543, 189, 533)
5125, 543, 189, 534)
5126, 543, 189, 534)
5127, 544, 187, 533)
5128, 548, 184, 534)
5129, 552, 182, 534)
5130, 556, 180, 534)
5131, 559, 180, 534)
5132, 563, 180, 534)
5133, 570, 181, 534)
5134, 580, 182, 0)
5135, 596, 180, 0)
5136, 612, 186, 0)
5137, 621, 195, 0)
5138, 630, 209, 0)
5139, 635, 218, 0)
5140, 638, 219, 0)
5141, 639, 217, 0)
5142, 637, 216, 0)
5143, 627, 216, 0)
5144, 604, 216, 520)
5145, 577, 217, 513)
5146, 557, 215, 507)
5147, 543, 209, 508)
5148, 534, 198, 495)
5149, 507, 181, 489)
5150, 467, 164, 497)
5151, 421, 155, 514)
5152, 387, 154, 525)
5153, 372, 155, 533)
5154, 367, 157, 534)
5155, 366, 159, 534)
5156, 369, 161, 536)
5157, 374, 162, 536)
5158, 378, 164, 536)
5159, 381, 165, 536)
5160, 384, 166, 536)
5161, 387, 166, 534)
5162, 392, 162, 526)
5163, 398, 147, 517)
5164, 398, 118, 514)
5165, 396, 88, 518)
5166, 397, 61, 517)
5167, 398, 41, 517)
5168, 401, 32, 507)
5169, 405, 33, 488)
5170, 410, 44, 0)
5171, 417, 64, 0)
5172, 425, 90, 0)
5173, 431, 112, 0)
5174, 435, 130, 0)
5175, 435, 140, 0)
5176, 431, 143, 0)
5177, 425, 142, 0)
5178, 419, 136, 0)
5179, 413, 129, 0)
5180, 407, 118, 0)
5181, 401, 102, 0)
5182, 401, 81, 0)
5183, 407, 67, 0)
5184, 417, 60, 0)
5185, 422, 56, 487)
5186, 422, 49, 489)
5187, 419, 38, 486)
5188, 414, 26, 0)
5189, 417, 15, 0)
5190, 214, 2, 0)
5191, 235, 112, 546)
5192, 258, 187, 546)
5193, 278, 233, 546)
5194, 295, 257, 546)
5195, 307, 267, 546)
5196, 318, 268, 546)
5197, 322, 265, 546)
5198, 322, 259, 547)
5199, 323, 254, 546)
5200, 321, 251, 546)
5201, 357, 190, 588)
5202, 416, 120, 0)
5203, 477, 86, 0)
5204, 538, 87, 488)
5205, 590, 122, 0)
5206, 618, 156, 0)
5207, 631, 182, 0)
5208, 629, 199, 0)
5209, 622, 209, 0)
5210, 616, 215, 0)
5211, 610, 219, 0)
5212, 605, 218, 0)
5213, 601, 217, 0)
5214, 598, 215, 0)
5215, 596, 214, 0)
5216, 596, 212, 0)
5217, 595, 211, 0)
5218, 595, 210, 0)
5219, 595, 210, 0)
5220, 595, 209, 0)
5221, 595, 208, 0)
5222, 595, 209, 0)
5223, 595, 208, 0)
5224, 595, 209, 0)
5225, 595, 209, 0)
5226, 595, 209, 0)
5227, 595, 209, 0)
5228, 594, 210, 0)
5229, 594, 211, 0)
5230, 592, 212, 0)
5231, 591, 214, 0)
5232, 590, 215, 0)
5233, 589, 216, 0)
5234, 588, 217, 0)
5235, 585, 219, 554)
5236, 583, 221, 554)
5237, 581, 223, 555)
5238, 580, 224, 554)
5239, 580, 224, 554)
5240, 580, 224, 555)
5241, 582, 223, 554)
5242, 583, 222, 554)
5243, 583, 221, 554)
5244, 584, 221, 554)
5245, 583, 221, 553)
5246, 582, 221, 553)
5247, 582, 221, 553)
5248, 580, 224, 556)
5249, 577, 226, 559)
5250, 576, 229, 565)
5251, 575, 230, 563)
5252, 574, 233, 566)
5253, 569, 238, 574)
5254, 567, 241, 574)
5255, 290, 125, 0)
5256, 273, 164, 546)
5257, 279, 195, 546)
5258, 291, 224, 543)
5259, 294, 253, 538)
5260, 303, 269, 539)
5261, 335, 278, 549)
5262, 368, 280, 556)
5263, 471, 261, 559)
5264, 542, 247, 563)
5265, 584, 235, 555)
5266, 604, 227, 555)
5267, 612, 223, 555)
5268, 612, 219, 553)
5269, 609, 217, 0)
5270, 606, 214, 0)
5271, 601, 213, 0)
5272, 597, 213, 0)
5273, 594, 214, 0)
5274, 591, 215, 0)
