FILE HAND2. 2013-4-26|18:47
FRAMENO, X, Y, Z
5275, 590, 215, 0)
5276, 588, 215, 0)
5277, 587, 217, 0)
5278, 587, 218, 0)
5279, 587, 218, 0)
5280, 586, 218, 0)
5281, 586, 218, 0)
5282, 587, 218, 0)
5283, 587, 217, 0)
5284, 587, 217, 0)
5285, 587, 216, 0)
5286, 587, 216, 0)
5287, 587, 218, 0)
5288, 586, 218, 0)
5289, 586, 218, 0)
5290, 586, 219, 0)
5291, 585, 219, 0)
5292, 584, 220, 554)
5293, 581, 222, 553)
5294, 580, 224, 561)
5295, 579, 226, 558)
5296, 577, 227, 556)
5297, 577, 228, 561)
5298, 577, 228, 561)
5299, 576, 229, 563)
5300, 575, 230, 563)
5301, 575, 231, 565)
5302, 574, 231, 562)
5303, 573, 232, 563)
5304, 573, 231, 561)
5305, 573, 231, 564)
5306, 573, 233, 571)
5307, 573, 234, 564)
5308, 571, 234, 563)
5309, 572, 233, 564)
5310, 572, 235, 572)
5311, 573, 234, 566)
5312, 573, 234, 565)
5313, 573, 235, 572)
5314, 572, 235, 572)
5315, 572, 234, 563)
5316, 573, 233, 565)
5317, 574, 232, 565)
5318, 574, 232, 564)
5319, 574, 231, 563)
5320, 574, 232, 566)
5321, 574, 233, 574)
5322, 573, 234, 568)
5323, 573, 233, 564)
5324, 573, 234, 571)
5325, 573, 234, 565)
5326, 573, 234, 565)
5327, 573, 234, 565)
5328, 571, 234, 564)
5329, 571, 235, 567)
5330, 572, 234, 566)
5331, 573, 234, 565)
5332, 574, 232, 563)
5333, 574, 231, 564)
5334, 575, 231, 564)
5335, 576, 228, 554)
5336, 578, 225, 554)
5337, 581, 222, 553)
5338, 583, 220, 554)
5339, 585, 218, 0)
5340, 586, 217, 0)
5341, 588, 216, 0)
5342, 590, 213, 0)
5343, 592, 212, 0)
5344, 594, 211, 0)
5345, 594, 210, 0)
5346, 596, 209, 0)
5347, 596, 209, 0)
5348, 597, 209, 0)
5349, 596, 209, 0)
5350, 596, 209, 0)
5351, 596, 209, 0)
5352, 596, 209, 0)
5353, 596, 209, 0)
5354, 595, 209, 0)
5355, 595, 209, 0)
5356, 595, 209, 0)
5357, 595, 210, 0)
5358, 595, 210, 0)
5359, 596, 209, 0)
5360, 597, 209, 0)
5361, 597, 209, 0)
5362, 596, 209, 0)
5363, 596, 209, 0)
5364, 597, 209, 0)
5365, 596, 209, 0)
