FILE HAND1. 2013-4-26|18:47
FRAMENO, X, Y, Z
5214, 595, 215, 0)
5215, 594, 213, 0)
5216, 593, 212, 0)
5217, 593, 210, 0)
5218, 593, 210, 0)
5219, 593, 209, 0)
5220, 594, 209, 0)
5221, 595, 208, 0)
5222, 595, 209, 0)
5223, 595, 209, 0)
5224, 595, 209, 0)
5225, 595, 209, 0)
5226, 595, 209, 0)
5227, 595, 209, 0)
5228, 594, 209, 0)
5229, 594, 210, 0)
5230, 592, 212, 0)
5231, 590, 214, 0)
5232, 588, 215, 0)
5233, 587, 217, 0)
5234, 586, 218, 0)
5235, 584, 220, 554)
5236, 582, 222, 554)
5237, 580, 223, 554)
5238, 579, 224, 554)
5239, 579, 225, 554)
5240, 579, 224, 553)
5241, 581, 222, 554)
5242, 582, 222, 554)
5243, 582, 221, 554)
5244, 582, 221, 553)
5245, 582, 221, 553)
5246, 582, 222, 554)
5247, 581, 222, 554)
5248, 578, 225, 559)
5249, 576, 227, 559)
5250, 575, 230, 565)
5251, 575, 230, 563)
5252, 574, 233, 566)
5253, 569, 238, 574)
5254, 567, 241, 574)
5255, 290, 125, 0)
5256, 222, 184, 540)
5257, 200, 219, 0)
5258, 236, 245, 540)
5259, 288, 256, 553)
5260, 332, 261, 556)
5261, 398, 259, 570)
5262, 454, 255, 571)
5263, 530, 245, 562)
5264, 575, 237, 562)
5265, 599, 230, 555)
5266, 609, 226, 555)
5267, 610, 223, 554)
5268, 609, 220, 554)
5269, 605, 217, 0)
5270, 601, 215, 0)
5271, 597, 214, 0)
5272, 594, 215, 0)
5273, 591, 215, 0)
5274, 589, 216, 0)
5275, 588, 216, 0)
5276, 587, 216, 0)
5277, 586, 218, 0)
5278, 585, 218, 0)
5279, 586, 218, 0)
5280, 586, 218, 0)
5281, 586, 218, 0)
5282, 586, 218, 0)
5283, 586, 218, 0)
5284, 585, 217, 0)
5285, 586, 217, 0)
5286, 586, 217, 0)
5287, 586, 218, 0)
5288, 586, 219, 0)
5289, 585, 218, 0)
5290, 585, 219, 0)
5291, 584, 219, 554)
5292, 583, 222, 555)
5293, 580, 223, 552)
5294, 579, 225, 561)
5295, 579, 226, 559)
5296, 577, 227, 557)
5297, 576, 228, 561)
5298, 575, 229, 562)
5299, 574, 230, 563)
5300, 574, 231, 564)
5301, 574, 232, 563)
5302, 573, 231, 562)
5303, 573, 232, 563)
5304, 572, 231, 562)
5305, 573, 232, 564)
5306, 572, 233, 566)
5307, 572, 234, 564)
5308, 571, 234, 563)
5309, 571, 234, 564)
5310, 571, 235, 571)
5311, 572, 234, 566)
5312, 573, 234, 565)
5313, 572, 235, 572)
5314, 572, 235, 567)
5315, 572, 233, 562)
5316, 572, 233, 565)
5317, 573, 232, 564)
5318, 573, 232, 564)
5319, 573, 231, 563)
5320, 573, 232, 566)
5321, 572, 233, 564)
5322, 571, 234, 566)
5323, 572, 233, 563)
5324, 571, 234, 568)
5325, 572, 234, 565)
5326, 572, 234, 564)
5327, 572, 234, 565)
5328, 571, 234, 564)
5329, 571, 235, 567)
5330, 572, 234, 565)
5331, 573, 234, 565)
5332, 574, 232, 564)
5333, 574, 231, 564)
5334, 574, 231, 564)
5335, 575, 229, 554)
5336, 577, 226, 554)
5337, 580, 223, 553)
5338, 582, 221, 553)
5339, 584, 219, 0)
5340, 586, 218, 0)
5341, 587, 217, 0)
5342, 589, 215, 0)
5343, 591, 213, 0)
5344, 593, 211, 0)
5345, 594, 210, 0)
5346, 596, 209, 0)
5347, 596, 209, 0)
5348, 596, 208, 0)
5349, 596, 209, 0)
5350, 595, 209, 0)
5351, 595, 209, 0)
5352, 595, 209, 0)
5353, 595, 209, 0)
5354, 595, 209, 0)
5355, 595, 209, 0)
5356, 595, 209, 0)
5357, 595, 210, 0)
5358, 595, 209, 0)
5359, 595, 209, 0)
5360, 596, 209, 0)
5361, 596, 209, 0)
5362, 596, 209, 0)
5363, 596, 209, 0)
5364, 596, 209, 0)
5365, 596, 209, 0)
